id,Smiles,Tg,Tm,Eg
6190,[*]N1C(=O)c2c(C1=O)cc(cc2)NC(=O)OCCOc1ccc(cc1)C(c1ccc(cc1)OCCOC(=O)Nc1cc2c(C(=O)N(C2=O)c2cc(ccc2)P(=O)(c2cc(ccc2)[*])c2ccccc2)cc1)(C)C,220.0,,
2407,[*]C(C[*])C(=O)OCCCCCCCCCOC(=O)c1ccc(cc1)OC(=O)c1ccc(cc1)C#N,15.0,,
9735,[*]CC(CBr)(CBr)COC(=O)CCCCC(=O)O[*],,,6.0899
7260,[*]N1C(CN(C(C1)C)SC(=O)OCCCCOC(=O)S[*])C,,110.0,
1057,[*]SCCCCC(=O)NCc1ccc(cc1)CNC(=O)CCCC[*],70.0,242.0,
11608,[*]CC(c1ccccc1)C1C(=O)N(c2ccc(C(=O)Oc3ccc(C=O)cc3)cc2)C(=O)C1[*],,,4.2954
4337,[*]Oc1ccc(cc1)C(=O)Nc1c(ccc(c1)C(c1cc(c(cc1)C)NC(=O)c1ccc(cc1)OC(=O)c1cc(ccc1)C(=O)[*])(C(F)(F)F)C(F)(F)F)C,214.0,,
5791,[*]N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc(cc1)C1(CCC(CC1)c1ccccc1)c1ccc(cc1)Oc1cc2c(C(=O)N(C2=O)c2ccc(cc2)Cc2ccc(cc2)[*])cc1,232.0,,
6492,[*]Oc1ccc(cc1)C(c1ccc(cc1)OC(=O)Oc1ccc(cc1)Cc1ccc(cc1)OC(=O)[*])(C)C,107.8,,
10302,[*]CC1CC([*])CN(c2nc(N)nc(N)n2)C1,,,5.1254
11127,[*]Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCCCCC([*])=O)cc2)C(=O)OCC)cc1,,,5.0929
7417,[*]NC(=O)CCCCCCC(=O)NCCCCCCCC[*],,216.7,
2729,[*]C1C2C(C(C(C1[*])C2)C(=O)OCCc1ccccc1)C(=O)OCCc1ccccc1,254.0,,
6825,[*]c1c(cc(c(c1)OC)C=C[*])OCCCC,65.0,,
7106,[*]C1C(CC1)[*],,166.6666667,
11359,[*]CCCCCCCNC(=O)CCCCCCCCCCCCCCCCCCC(=O)N[*],,,5.9137
3811,[*]Oc1ccc(cc1)C1(c2ccccc2c2ccccc12)c1ccc(cc1)OCCOC(=O)NC1CCC(CC1)CC1CCC(CC1)NC(=O)OCC[*],140.0,,
11501,[*]C(=O)Nc1ccc(Cc2ccc(N3C(=O)c4ccc([*])cc4C3=O)cc2)cc1,,,3.1109
11286,[*]CCCCCCNC(=O)CC(=O)N[*],,,5.7541
10617,[*]CC(CO[*])(CSC(C)C)CSC(C)C,,,4.6686
306,[*]C(C(C(C[*])OC)C(=O)O)C(=O)O,134.67,,
33,[*]C(C[*])CCCCCCCCCCCCCC,-24.0,55.58076923,
5848,[*]N1C(=O)C2C(C1=O)CC(CC2)C1CC2C(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)[*])CC1,257.0,,
5270,[*]Oc1ccc(cc1)C(c1ccc(cc1)OC(=O)NC(=O)c1cc(cc(c1)C(C)(C)C)C(=O)NC(=O)[*])(C)C,123.5,,
1347,[*]NC1CCC(CC1)CC1CCC(CC1)NC(=O)CCCCCCCCCCC(=O)[*],139.67,287.6,
1537,[*]OC(=O)NCCCCCCNC(=O)OCCCCCCCC[*],58.0,157.0,
7183,[*]N(C(=O)c1ccc(cc1)C(=O)N(CCCCCC[*])C)C,,260.0,
3271,[*]Oc1ccc(cc1)C(=O)c1ccc(cc1)OCCCCCCOC(=O)OCCCCOC(=O)OCCCCCC[*],2.1,,
9115,[*]CC([*])c1cc(C)ccc1F,,,4.5949
11335,[*]N=Nc1ccc(NC(=O)CCC(=O)Nc2ccc([*])cc2)cc1,,,2.9351
7359,[*]NC(=O)C(C(=O)NCCCCCCCCC[*])CCCCCCCCCCCC,,127.0,
8689,[*]SC(=O)CCCCCCC(=O)SCCC[*],,104.6666667,
6463,[*]Oc1ccc(cc1)C(c1ccc(cc1)OC(=O)OC1C(C(C1(C)C)OC(=O)[*])(C)C)(C(F)(F)F)C(F)(F)F,142.0,,
10126,[*]CCCCCCCCCCCCNC(=O)NCCCCCCCCCCNC(=O)N[*],,,5.6621
12029,[*]CC(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],,,3.5671
7434,[*]NC(=O)CCCCCCCCC(=O)NCCCCCCC[*],,197.6666667,
4326,[*]Oc1ccc(cc1)OC(=O)c1c(cc(cc1)C(=O)[*])Oc1ccc(cc1)Br,112.5,318.0,
11044,[*]CCCCCOC(=O)CCC(C)CC(=O)O[*],,,6.7005
11404,[*]CCOC(=O)Nc1c(C)c(C)c(NC(=O)O[*])c(C)c1C,,,5.3419
2144,[*]C(C[*])c1ccc(cc1)C[Si](C)(C)C,82.0,,
6985,[*]C(C[*])(C(=O)OCC)CO,,262.0,
9358,[*]CCCCCCCCC(=O)NCCCCCOCCCCCNC(=O)CCCO[*],,,5.9383
5973,[*]c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)N2C(=S)N(C(C(=C2C)C(=O)OCC)c2c(cc(cc2)OC)OC)C(=O)[*])cc1,165.0,,
3602,[*]Oc1c(cc(cc1OC)/C=C/c1ccc(cc1)/C=C/c1ccc(cc1)/C=C/c1cc(c(c(c1)OC)OCCCCCCCC[*])OC)OC,78.7,,
948,[*]N1C(=O)c2c(C1=O)cc(cc2)Oc1cc2c(cc1)cc(cc2)Oc1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(c2ccc(cc2)[*])(C(F)(F)F)C(F)(F)F)cc1,218.0,,
5290,[*]N1C(=O)c2c(C1=O)cc(cc2)Oc1c(cccc1)Oc1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2c(cccc2)Oc2ccc(cc2)[*])cc1,193.0,,
2787,[*]c1cc2Oc3c(C4(c2cc1)c1ccccc1c1ccccc41)ccc(c3)OC(=O)O[*],295.0,,
6857,[*]c1cc2C(c3c(c2cc1)ccc(c3)c1ccc(cc1)[*])(CCCCCCC#N)CCCCCCC#N,90.0,,
11161,[*]CC(=O)NCC(=O)O[*],,,6.011
3869,[*]c1nc2c(nc1c1ccccc1)cc(cc2)Oc1cc2c(nc(c(n2)c2ccccc2)c2ccc(cc2)OCCN(CCOc2ccc(cc2)[*])c2ccc(cc2)N=Nc2ccc(cc2)[N+](=O)[O-])cc1,199.0,,
5782,[*]N1C(=O)c2c(C1=O)cc(cc2)c1cc2c(C(=O)N(C2=O)CCCCCCOC(=O)CCCCCCCCCCN2C(=O)c3c(C2=O)cc(cc3)c2ccc(cc2)c2cc3c(C(=O)N(C3=O)CCCCCCCCCCC(=O)OCCCCCC[*])cc2)cc1,45.0,78.0,
11440,[*]Nc1cc(NC(=O)Nc2ccc(NC([*])=O)cc2)cc(C(=O)Nc2cccc3c2C(=O)c2ccccc2C3=O)c1,,,2.5826
6640,[*]N(CC[*])C(=O)c1c(c(c(c(c1F)F)F)F)F,136.0,,
9130,[*]CC([*])O,,,6.3648
4347,[*]C1CCN(CC1)C(=C(c1ccc(cc1)C(=O)OCC[*])C#N)c1ccc(cc1)OC,171.5,,
514,[*]C(C[*])(C(=O)OCCN(c1ccc(cc1)N=Nc1ccc(cc1)[N+](=O)[O-])CC)C,125.25,,
5485,[*]N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc(cc1)C(=O)Nc1ccc(cc1)Cc1ccc(cc1)[*],250.0,,
1526,[*]OC(=O)NCCCCCCNC(=O)OCC[*],56.0,,
168,[*]C(C[*])c1ccc(cc1)C(=O)CCN1CCOCC1,41.0,,
11773,[*]Nc1ccc([*])c2cc3ccccc3cc12,,,2.1612
5544,[*]C1C2C(C(=O)N(C2=O)c2ccccc2)C(C1)C=C[*],220.0,,
2481,[*]C(C[*])(C(=O)Oc1ccc(cc1)C(=O)Oc1ccc(cc1)Oc1ccccc1)C,74.0,94.0,
270,[*]C(C[*])OC(=O)c1c(cccc1)OC,65.0,,
11446,[*]C(=O)c1ccc2c(c1)C(=O)N(c1cccc(Nc3nc(Nc4cccc(N5C(=O)c6ccc([*])cc6C5=O)c4)nc(-c4ccccc4)n3)c1)C2=O,,,2.3845
10298,[*]c1ccc(-c2nc3cc(-c4ccc5nc([*])c(-c6ccccc6)nc5c4)ccc3nc2-c2ccccc2)cc1,,,2.983
3102,[*]C1OC(OC1COC(=O)OC[*])(C)C,51.38,,
6136,[*]c1cc2c(C(=O)N(C2=O)c2cc(c(cc2)Oc2ccc(cc2)C(=O)c2nc(ccc2)C(=O)c2ccc(cc2)Oc2c(cc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C([*])(C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)cc1,206.4,,
4405,[*]c1nc2c(cc1)cccc2OC(=O)c1ccc(cc1)C(=O)Oc1ccc(cc1)C=C[*],112.0,165.0,
4414,[*]Oc1ccc(cc1)CC(NC(=O)CCc1ccc(cc1)OC(=O)CCCC(=O)[*])C(=O)OCCCCCCCCCCCC,27.5,,
4649,[*]c1cc2c(cc1OC(=O)COc1ccc3c(c1)oc(=O)cc3)oc(=O)c(c2)C(=O)Nc1cc(ccc1)NC(=O)c1c(=O)oc2c(cc(c(c2)OC(=O)COc2ccc3c(c2)oc(=O)cc3)C[*])c1,240.0,,
6437,[*]OC(=O)OCC(C(C[*])OC(=O)C(=O)OCC)OC(=O)C(=O)OCC,51.38,,
1091,[*]OC(=O)c1ccc(cc1)C(=O)OCC[*],77.74,251.9070339,
11280,[*]CCCCCCCCCCCC(=O)NCC(=O)N[*],,,6.1662
4255,[*]Oc1ccc(cc1)C(=O)c1ccc(cc1)OC(=O)c1ccc(cc1)C(c1ccc(cc1)C(=O)[*])(C)C,126.0,,
6125,[*]N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc(cc1)C(c1ccc(cc1)Oc1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2c(c(ccc2)Oc2ccc(cc2)[*])C#N)cc1)(C)C,213.0,,
8999,[*]c1sc(cc1)c1sc(cc1)[Si](c1sc(cc1)c1sc(cc1)[SiH]([*])C)(C)C,,49.0,
9875,[*]CCCCNC(=O)CCCCCCCCCCC(=O)N[*],,,5.9492
2633,[*]C(C[*])(C(=O)OCCN(c1ccc(cc1)N=Nc1ccc(cc1)S(=O)(=O)C)CC)C,144.0,,
8366,[*]Oc1c(cc(cc1)C=C1C(=O)C(=Cc2cc(c(cc2)OCCCCCCCC[*])OC)CC(C1)C(C)(C)C)OC,,100.0,
9015,[*]c1sc(cc1CCCCCCCCCCCC)c1sc(cc1)[*],,126.7647059,
920,[*]N1C(=O)c2c(C1=O)cc(cc2)Oc1c2c(ccc1)c(ccc2)Oc1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)[*])cc1,240.0,,
3894,[*]C1(OC(C(O1)(F)F)(F)C(F)(F)F)C([*])(F)F,135.0,,
11159,[*]Oc1ccc(OC(=O)c2ccc(OC(=O)CCCCCCC([*])=O)cc2)cc1,,,4.1613
12399,[*]c1cc(CCCCCCO[Si](C)(C)C)c([*])s1,,,2.5263
7500,[*]NC(=O)NCCCCCCCCCCNC(=O)NCCCCCCCCCCCC[*],,190.0,
4971,[*]OC(=O)Nc1c(ccc(c1)NC(=O)OCCN(CC[*])c1ccc(cc1)c1oc2c(n1)ccc(c2)[N+](=O)[O-])C,156.0,,
12079,[*]CC(=O)CC(=S)[*],,,2.8292
12008,[*]CC(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3[*],,,3.0602
10777,[*]Oc1ccc(Oc2ccc(C=NCCN=Cc3ccc([*])cc3)cc2)cc1,,,4.266
2487,[*]C(C[*])(C(=O)OCCCCCOc1ccc(cc1)OC(=O)c1ccc(cc1)OC)C,38.0,,
10517,[*]CCCCCC(=O)NCCCCCCNC(=O)CCCCO[*],,,5.8874
6781,[*]S(=O)(=O)c1ccc(cc1)C(=O)c1ccc(cc1)C(=O)c1ccc(cc1)[*],213.5,415.0,
2885,[*]c1oc2c(n1)ccc(c2)c1ccc2c(oc(n2)CCCCCCCCC[*])c1,64.0,193.0,
